V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301,V302,V303,V304,V305,V306,LocationLatitude,LocationLongitude,LocationAccuracy,LastActivity,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,gid,sname,q.text,attr.label1,attr.label2,attr.label3,attr.label4,opt.label1,opt.label2,opt.label3,version,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,attr1.1.1,attr2.1.1,attr3.1.1,attr4.1.1,attr1.1.2,attr2.1.2,attr3.1.2,attr4.1.2,attr1.1.3,attr2.1.3,attr3.1.3,attr4.1.3,attr1.2.1,attr2.2.1,attr3.2.1,attr4.2.1,attr1.2.2,attr2.2.2,attr3.2.2,attr4.2.2,attr1.2.3,attr2.2.3,attr3.2.3,attr4.2.3,attr1.3.1,attr2.3.1,attr3.3.1,attr4.3.1,attr1.3.2,attr2.3.2,attr3.3.2,attr4.3.2,attr1.3.3,attr2.3.3,attr3.3.3,attr4.3.3,attr1.4.1,attr2.4.1,attr3.4.1,attr4.4.1,attr1.4.2,attr2.4.2,attr3.4.2,attr4.4.2,attr1.4.3,attr2.4.3,attr3.4.3,attr4.4.3,attr1.5.1,attr2.5.1,attr3.5.1,attr4.5.1,attr1.5.2,attr2.5.2,attr3.5.2,attr4.5.2,attr1.5.3,attr2.5.3,attr3.5.3,attr4.5.3,attr1.6.1,attr2.6.1,attr3.6.1,attr4.6.1,attr1.6.2,attr2.6.2,attr3.6.2,attr4.6.2,attr1.6.3,attr2.6.3,attr3.6.3,attr4.6.3,attr1.7.1,attr2.7.1,attr3.7.1,attr4.7.1,attr1.7.2,attr2.7.2,attr3.7.2,attr4.7.2,attr1.7.3,attr2.7.3,attr3.7.3,attr4.7.3,attr1.8.1,attr2.8.1,attr3.8.1,attr4.8.1,attr1.8.2,attr2.8.2,attr3.8.2,attr4.8.2,attr1.8.3,attr2.8.3,attr3.8.3,attr4.8.3,attr1.9.1,attr2.9.1,attr3.9.1,attr4.9.1,attr1.9.2,attr2.9.2,attr3.9.2,attr4.9.2,attr1.9.3,attr2.9.3,attr3.9.3,attr4.9.3,attr1.10.1,attr2.10.1,attr3.10.1,attr4.10.1,attr1.10.2,attr2.10.2,attr3.10.2,attr4.10.2,attr1.10.3,attr2.10.3,attr3.10.3,attr4.10.3,attr1.11.1,attr2.11.1,attr3.11.1,attr4.11.1,attr1.11.2,attr2.11.2,attr3.11.2,attr4.11.2,attr1.11.3,attr2.11.3,attr3.11.3,attr4.11.3,attr1.12.1,attr2.12.1,attr3.12.1,attr4.12.1,attr1.12.2,attr2.12.2,attr3.12.2,attr4.12.2,attr1.12.3,attr2.12.3,attr3.12.3,attr4.12.3,attr1.13.1,attr2.13.1,attr3.13.1,attr4.13.1,attr1.13.2,attr2.13.2,attr3.13.2,attr4.13.2,attr1.13.3,attr2.13.3,attr3.13.3,attr4.13.3,attr1.14.1,attr2.14.1,attr3.14.1,attr4.14.1,attr1.14.2,attr2.14.2,attr3.14.2,attr4.14.2,attr1.14.3,attr2.14.3,attr3.14.3,attr4.14.3,attr1.15.1,attr2.15.1,attr3.15.1,attr4.15.1,attr1.15.2,attr2.15.2,attr3.15.2,attr4.15.2,attr1.15.3,attr2.15.3,attr3.15.3,attr4.15.3,gc,MTurkCode,What is your gender?,What is your age?,What is your ethnicity? ,What is your total pretax income?,What is the highest degree or level of school you have completed?,What is your marital status?,Are you knowledgeable are you about Marie Kondo?,Please watch the following video. The next button will appear when the complete video has been vi...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please watch the following video. The next button will appear when the complete video has been vi...,C1,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,C2,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,C3,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,C4,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,C5,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,C6,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,C7,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,C8,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,C9,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,C10,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,C11,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,C12,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,C13,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,C14,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,C15,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,LocationLatitude,LocationLongitude,LocationAccuracy,LastActivity,
FS_1obrVJnAJqgrYrx,,Anonymous,,,173.219.167.170,0,2019-04-02 20:56:16,2019-04-02 21:02:15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,12,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2019-04-02 21:02:15,
FS_Tip7QhtH54scABX,,Anonymous,,,24.0.186.176,0,2019-04-02 20:56:30,2019-04-02 21:00:01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,11,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2019-04-02 21:00:01,
FS_qJ9fsBx3ck2J3zz,,Anonymous,,,73.62.11.196,0,2019-04-02 20:56:49,2019-04-02 21:13:26,0,,,Which scenarios do you prefer for your house?,Clothing,Book,Paper,Sentimental,Option 1,Option 2,Option 3,10,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,One pair of shoes,Zero paper books,Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),No tax documents stored after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,One pair of shoes,Zero paper books,No tax documents stored after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),No tax documents stored after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,Zero paper books,Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,No tax documents stored after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),No tax documents stored after filing,Five framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),No tax documents stored after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,A small case of books (~25 books),No tax documents stored after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,Zero paper books,Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,Zero paper books,No tax documents stored after filing,Zero framed photographs of loved ones on display,One pair of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,A room full of books (100 books),No tax documents stored after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,Zero paper books,Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,One pair of shoes,Zero paper books,Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),No tax documents stored after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,One pair of shoes,Zero paper books,No tax documents stored after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,One pair of shoes,Zero paper books,Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),No tax documents stored after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),No tax documents stored after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),No tax documents stored after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,No tax documents stored after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,,,2,5,1,11,4,1,3,,242.236,248.444,249.507,2,1,2,12.726,77.47,78.81,4,2,74.294,79.182,92.306,2,3,87.883,87.883,109.176,1,2,13.95,23.302,24.755,2,2,101.787,101.787,102.513,1,1,3.88,3.88,6.004,1,1,106.291,106.291,123.391,1,3,7.765,7.765,8.834,1,2,10.875,10.875,24.664,1,3,6.672,16.928,18.349,2,1,8.339,8.339,9.784,1,1,18.855,18.855,20.699,1,3,21.835,21.835,22.48,1,2,19.497,19.497,20.294,1,,,,,,,,-1,2019-04-02 21:13:26,
FS_Zr8vktaMZGquhTr,,Anonymous,,,207.55.56.164,0,2019-04-02 20:57:05,2019-04-02 21:03:03,0,,,Which scenarios do you prefer for your house?,Clothing,Book,Paper,Sentimental,Option 1,Option 2,Option 3,10,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,One pair of shoes,Zero paper books,Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),No tax documents stored after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,One pair of shoes,Zero paper books,No tax documents stored after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),No tax documents stored after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,Zero paper books,Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,No tax documents stored after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),No tax documents stored after filing,Five framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),No tax documents stored after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,A small case of books (~25 books),No tax documents stored after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,Zero paper books,Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,Zero paper books,No tax documents stored after filing,Zero framed photographs of loved ones on display,One pair of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,A room full of books (100 books),No tax documents stored after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,Zero paper books,Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,One pair of shoes,Zero paper books,Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),No tax documents stored after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,One pair of shoes,Zero paper books,No tax documents stored after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,One pair of shoes,Zero paper books,Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),No tax documents stored after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),No tax documents stored after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),No tax documents stored after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,No tax documents stored after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,,,1,4,1,6,2,1,5,1,17.462,229.356,233.206,8,,2,1.501,21.729,22.721,13,2,2.248,32.815,33.401,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2019-04-02 21:03:03,
FS_2vffnYMmU2EeL9y,,Anonymous,,,73.48.80.170,0,2019-04-02 20:57:23,2019-04-07 21:17:01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2019-04-07 21:17:01,
FS_2905AyEpYG17DJx,,Anonymous,,,173.17.203.233,0,2019-04-02 21:27:15,2019-04-02 21:33:23,0,,,Which scenarios do you prefer for your house?,Clothing,Book,Paper,Sentimental,Option 1,Option 2,Option 3,10,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,One pair of shoes,Zero paper books,Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),No tax documents stored after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,One pair of shoes,Zero paper books,No tax documents stored after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),No tax documents stored after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,Zero paper books,Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,No tax documents stored after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),No tax documents stored after filing,Five framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),No tax documents stored after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,A small case of books (~25 books),No tax documents stored after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,Zero paper books,Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,Zero paper books,No tax documents stored after filing,Zero framed photographs of loved ones on display,One pair of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,A room full of books (100 books),No tax documents stored after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,Zero paper books,Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,One pair of shoes,Zero paper books,Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),No tax documents stored after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,One pair of shoes,Zero paper books,No tax documents stored after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,Fifty pairs of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,One pair of shoes,Zero paper books,Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,A room full of books (100 books),No tax documents stored after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,Keep tax documents for 1 year after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),No tax documents stored after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),Keep tax documents for 5 years after filing,Zero framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,Keep tax documents for 5 years after filing,Five framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),No tax documents stored after filing,Ten or more framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),Keep tax documents for 1 year after filing,Zero framed photographs of loved ones on display,One pair of shoes,A small case of books (~25 books),Keep tax documents for 5 years after filing,Ten or more framed photographs of loved ones on display,Ten pairs of shoes,Zero paper books,No tax documents stored after filing,Zero framed photographs of loved ones on display,Fifty pairs of shoes,A room full of books (100 books),Keep tax documents for 1 year after filing,Five framed photographs of loved ones on display,,,2,4,1,4,5,5,5,,187.8,308.087,312.597,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2019-04-02 21:33:23,
FS_3iwiKbsEfpAbOoU,,Anonymous,,,68.100.174.128,0,2019-04-02 21:39:19,2019-04-02 21:40:18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2019-04-02 21:40:18,
FS_3p3J1WXld3Wc6Wo,,Anonymous,,,75.142.42.79,0,2019-04-02 21:56:36,2019-04-02 22:02:52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,5,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2019-04-02 22:02:52,
FS_2rl35lyv6pbleGJ,,Anonymous,,,196.16.225.32,0,2019-04-02 22:10:19,2019-04-02 22:14:18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,4,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2019-04-02 22:14:18,
